dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,3.550000000000000000e+02,-4.708376618227510365e-20,-8.750306479124181816e-35,4.708376618227519393e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.560000000000000000e+02,-3.581086175655778765e-31,-6.728299708024394086e-33,3.648373353087807818e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.570000000000000000e+02,-4.726880857299812878e-20,-6.485790080661971325e-35,4.726880857299819498e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.580000000000000000e+02,-4.905885236151148628e-31,-6.027323773954262751e-33,4.966190917534773950e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.590000000000000000e+02,-4.745332798004062625e-20,-4.817028912875881422e-35,4.745332798004067440e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+02,-3.488761908946715647e-31,-5.318991449299891689e-33,3.541965723660413037e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.610000000000000000e+02,-4.763732815702755718e-20,-3.585257770007976899e-35,4.763732815702759329e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.620000000000000000e+02,-2.098541415652941866e-31,-4.652508192902732590e-33,2.145064660872046032e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.630000000000000000e+02,-4.782081281839986899e-20,-2.674102711326851295e-35,4.782081281839989306e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.640000000000000000e+02,-2.096254373843982024e-32,-4.020665285656367776e-33,2.498292249734817508e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.650000000000000000e+02,-4.800378563989927002e-20,-1.998634269985594335e-35,4.800378563989928808e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.660000000000000000e+02,-6.528902511472729542e-32,-3.458733435557219983e-33,6.874968048354810984e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.670000000000000000e+02,-4.818625025904796063e-20,-1.497138992566035927e-35,4.818625025904797267e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.680000000000000000e+02,-1.638244158944392498e-32,-2.137354358326132484e-33,1.851902012149851475e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.690000000000000000e+02,-4.836821027562234574e-20,-1.123772599386106858e-35,4.836821027562235778e-20,0.000000000000000000e+00
