Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,152.0,300.0,404.0,9.999999999999998e-21,1.0,0.4174810079874698,0.08251899201234948,1.9610962227232297e-17,0.5000000000001807
0.0,153.0,300.0,406.0,9.999999999999998e-21,1.0,0.4306716153499836,0.0693283846498357,1.842584727399624e-17,0.5000000000001809
0.0,154.0,300.0,408.0,9.999999999999998e-21,1.0,0.4431740682160858,0.05682593178373471,1.728533046265828e-17,0.5000000000001795
0.0,155.0,300.0,410.0,9.999999999999998e-21,1.0,0.45471811236114756,0.045281887638672906,1.6183218327728386e-17,0.5000000000001795
0.0,156.0,300.0,412.0,9.999999999999998e-21,1.0,0.4650669413399172,0.034933058659903225,1.511641326162242e-17,0.5000000000001797
0.0,157.0,300.0,414.0,9.999999999999998e-21,1.0,0.47403716067747775,0.025962839322342533,1.408451766130154e-17,0.5000000000001797
0.0,158.0,300.0,416.0,9.999999999999998e-21,1.0,0.48151732788783425,0.018482672111986096,1.308934404730205e-17,0.5000000000001797
0.0,159.0,300.0,418.0,9.999999999999998e-21,1.0,0.48748190306638445,0.012518096933435807,1.2134319387696342e-17,0.5000000000001797
0.0,160.0,300.0,420.0,9.999999999999998e-21,1.0,0.49199693579675774,0.00800306420306255,1.1223789085558038e-17,0.5000000000001797
0.0,161.0,300.0,422.0,9.999999999999998e-21,1.0,0.4952139699845409,0.004786030015279438,1.036225089312211e-17,0.5000000000001796
0.0,162.0,300.0,424.0,9.999999999999998e-21,1.0,0.49735037929958775,0.0026496207002326714,9.553589033624573e-18,0.5000000000001796
0.0,163.0,300.0,426.0,9.999999999999998e-21,1.0,0.498657968125233,0.0013420318768855562,0.0,0.5000000000001578
0.0,164.0,300.0,428.0,9.999999999999998e-21,1.0,0.49938631435567016,0.0006136856453101625,8.103686220569169e-18,0.4999999999990195
0.0,165.0,300.0,430.0,9.999999999999998e-21,1.0,0.4997503877637414,0.0002496122438330967,0.0,0.4999999999990164
0.0,166.0,300.0,432.0,9.999999999999998e-21,1.0,0.4999111862992301,8.881370504912626e-05,6.874737535150309e-18,0.49999999999572087
0.0,167.0,300.0,434.0,9.999999999999998e-21,1.0,0.4999728680571387,2.7131967835530165e-05,0.0,0.4999999999957223
0.0,168.0,300.0,436.0,9.999999999999998e-21,1.0,0.49999303084848395,6.969166142018536e-06,5.8449647450012866e-18,0.49999999998537414
0.0,169.0,300.0,438.0,9.999999999999998e-21,1.0,0.4999985298154818,1.4702206700655247e-06,0.0,0.4999999999853743
