Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,327.0,300.0,754.0,9.999999999999998e-21,1.0,0.9999999999999999,7.626500338256825e-20,1.0935711543598625e-16,0.0
0.0,328.0,300.0,756.0,9.999999999999998e-21,1.0,0.9999999999999999,7.428733541499891e-20,1.0385811698924843e-16,0.0
0.0,329.0,300.0,758.0,9.999999999999998e-21,1.0,0.9999999999999999,7.237123734599223e-20,9.866283692040097e-17,0.0
0.0,330.0,300.0,760.0,9.999999999999998e-21,1.0,0.9999999999999999,7.051450358689326e-20,9.375308349681807e-17,0.0
0.0,331.0,300.0,762.0,9.999999999999998e-21,1.0,0.9999999999999999,6.871501727744494e-20,8.911183553376891e-17,0.0
0.0,332.0,300.0,764.0,9.999999999999998e-21,1.0,0.9999999999999999,6.697074622851296e-20,8.472316207350083e-17,0.0
0.0,333.0,300.0,766.0,9.999999999999998e-21,1.0,0.9999999999999999,6.527973929504367e-20,8.057214790776721e-17,0.0
0.0,334.0,300.0,768.0,9.999999999999998e-21,1.0,0.9999999999999999,6.364012272845924e-20,7.664482449433283e-17,0.0
0.0,335.0,300.0,770.0,9.999999999999998e-21,1.0,1.0000000000015523,6.205009675742104e-20,0.0,0.0
0.0,336.0,300.0,772.0,9.999999999999998e-21,1.0,0.9999999999999999,6.050793270175274e-20,6.94097290814696e-17,0.0
0.0,337.0,300.0,774.0,9.999999999999998e-21,1.0,1.000000000001565,5.901196918508868e-20,0.0,0.0
0.0,338.0,300.0,776.0,9.999999999999998e-21,1.0,0.9999999999999999,5.75606099810341e-20,6.292273728833466e-17,0.0
0.0,339.0,300.0,778.0,9.999999999999998e-21,1.0,1.0000000000015774,5.615232065091185e-20,0.0,0.0
0.0,340.0,300.0,780.0,9.999999999999998e-21,1.0,0.9999999999999999,5.478562622213793e-20,5.710020388974757e-17,0.0
0.0,341.0,300.0,782.0,9.999999999999998e-21,1.0,1.0000000000015892,5.3459108503442864e-20,0.0,0.0
0.0,342.0,300.0,784.0,9.999999999999998e-21,1.0,0.9999999999999999,5.2171403639792125e-20,5.18685011028457e-17,0.0
0.0,343.0,300.0,786.0,9.999999999999998e-21,1.0,1.0000000000016007,5.0921199958058805e-20,0.0,0.0
